Provinsi,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,12.9,13.03,13.19,13.36,13.53,13.73,13.89,14.13
SUMATERA UTARA,11.82,11.83,11.97,12.41,12.61,12.82,13,13.1
SUMATERA BARAT,12.22,12.52,12.81,13.16,13.48,13.6,13.79,13.94
RIAU,11.76,11.78,11.79,12.27,12.45,12.74,12.86,13.03
JAMBI,11.34,11.6,11.73,12.17,12.38,12.57,12.72,12.87
SUMATERA SELATAN,11.03,11.21,11.42,11.46,11.75,12.02,12.23,12.35
BENGKULU,11.59,11.88,12.2,12.78,13.01,13.18,13.38,13.57
LAMPUNG,10.88,11.04,11.37,11.9,12.24,12.25,12.35,12.46
KEP. BANGKA BELITUNG,10.48,10.7,10.79,10.96,11.18,11.6,11.71,11.83
KEP. RIAU,11.51,11.61,11.9,12.26,12.51,12.6,12.66,12.81
DKI JAKARTA,11.86,11.91,11.96,12.24,12.38,12.59,12.73,12.86
JAWA BARAT,10.69,10.91,11.24,11.81,12.08,12.15,12.3,12.42
JAWA TENGAH,11.09,11.18,11.39,11.89,12.17,12.38,12.45,12.57
YOGYAKARTA,14.15,14.61,14.64,14.67,14.85,15.03,15.23,15.42
JAWA TIMUR,11.49,11.62,11.74,12.17,12.45,12.66,12.98,13.09
BANTEN,11.02,11.41,11.79,12.05,12.31,12.35,12.7,12.78
BALI,11.71,12.12,12.26,12.4,12.64,12.97,13.04,13.21
NUSA TENGGARA BARAT,11.66,11.97,12.21,12.46,12.73,13.04,13.16,13.46
NUSA TENGGARA TIMUR,10.85,11.55,11.73,12.27,12.65,12.84,12.97,13.07
KALIMANTAN BARAT,10.79,10.8,11.11,11.6,11.89,12.25,12.37,12.5
KALIMANTAN TENGAH,11.09,11.15,11.22,11.71,11.93,12.22,12.33,12.45
KALIMANTAN SELATAN,10.86,11.14,11.54,11.67,11.96,12.21,12.29,12.46
KALIMANTAN TIMUR,11.87,12.06,12.46,12.85,13.17,13.18,13.35,13.49
KALIMANTAN UTARA,-,-,-,12.3,12.52,12.54,12.59,12.79
SULAWESI UTARA,11.34,11.5,11.77,11.88,12.16,12.43,12.55,12.66
SULAWESI TENGAH,11.17,11.82,12.09,12.36,12.71,12.72,12.92,13.04
SULAWESI SELATAN,11.47,11.82,12.16,12.52,12.9,12.99,13.16,13.28
SULAWESI TENGGARA,12.15,12.3,12.45,12.45,12.78,13.07,13.24,13.36
GORONTALO,11.12,11.68,11.78,12.13,12.49,12.7,12.88,13.01
SULAWESI BARAT,10.58,11.21,11.28,11.46,11.78,12.22,12.34,12.48
MALUKU,12.62,12.85,12.96,13.35,13.53,13.56,13.73,13.91
MALUKU UTARA,11.74,11.79,12.19,12.48,12.72,13.1,13.45,13.56
PAPUA BARAT,11.1,11.21,11.45,11.67,11.87,12.06,12.26,12.47
PAPUA,8.57,8.92,9.11,9.58,9.94,9.95,10.23,10.54
