Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018
ACEH,861.85,894.81,892.8,848.21,859.34,855.5,844.875,851.205,839.49
SUMATERA UTARA,1490.89,1481.31,1392.85,1364.98,1323.635,1485.905,1454.25,1390.22,1324.98
SUMATERA BARAT,430.02,442.09,401.3,394.05,366.97,364.57,374.035,362.25,357.13
RIAU,500.26,482.05,482.19,495.905,499.08,547.155,508.495,505.505,500.44
JAMBI,241.61,272.67,270.875,273.86,272.775,306.135,290.305,282.58,281.69
SUMATERA SELATAN,1125.73,1074.81,1049.535,1109.29,1093.315,1129.08,1098.845,1086.84,1068.27
BENGKULU,324.93,303.6,311.065,323.88,318.725,328.45,327.105,309.8,301.81
LAMPUNG,1479.93,1298.71,1236.41,1148.67,1143.425,1132.085,1154.69,1107.735,1097.05
KEP. BANGKA BELITUNG,67.75,72.06,70.785,70.06,69.435,70.355,71.915,75.145,76.26
KEP. RIAU,129.66,129.56,131.22,125.84,125.985,118.615,119.775,126.9,131.68
DKI JAKARTA,312.18,363.42,364.985,364.945,403.385,383.795,385.07,391.41,373.12
JAWA BARAT,4773.72,4648.63,4449.505,4339.845,4283.015,4460.675,4196.22,3971.425,3615.79
JAWA TENGAH,5369.16,5107.36,4920.385,4718.91,4699.135,4541.41,4500.32,4324.105,3897.2
YOGYAKARTA,577.3,560.88,563.715,542.69,538.73,517.895,491.885,477.43,460.1
JAWA TIMUR,5529.3,5356.21,5015.76,4818.54,4767.605,4782.545,4670.915,4511.14,4332.59
BANTEN,758.16,690.49,650.525,669.48,636.015,696.535,657.925,687.435,661.36
BALI,174.93,166.23,164.865,174.525,190.575,207.75,176.56,178.305,171.76
NUSA TENGGARA BARAT,1009.35,894.77,840.485,816.65,818.72,813.09,795.51,770.95,737.46
NUSA TENGGARA TIMUR,1014.09,1012.9,1006.405,1001.355,993.275,1160.185,1150,1142.765,1142.17
KALIMANTAN BARAT,428.76,380.11,359.505,381.59,391.715,394.605,385.835,388.12,387.08
KALIMANTAN TENGAH,164.22,146.91,144.975,141.155,147.57,147.915,140.475,138.52,136.93
KALIMANTAN SELATAN,181.96,194.62,189.545,182.505,186.19,193.8,189.93,194.24,189.03
KALIMANTAN TIMUR,243,247.9,249.725,246.935,253.14,211.44,212.08,219.42,218.9
KALIMANTAN UTARA,-,-,-,-,-,40.31,44.075,49.015,50.35
SULAWESI UTARA,206.72,194.9,183.33,192.28,202.895,212.845,201.585,196.865,193.31
SULAWESI TENGAH,474.99,423.63,414.12,402.755,389.855,413.98,416.835,420.57,420.21
SULAWESI SELATAN,913.43,832.91,815.855,822.555,835.325,831.115,801.92,819.52,792.63
SULAWESI TENGGARA,400.7,330,310.29,314.21,328.17,333.45,327.075,322.435,307.1
GORONTALO,209.89,198.27,187.32,196.78,194.635,206.675,203.44,203.14,198.51
SULAWESI BARAT,141.33,164.86,160.505,154.1,154.29,156.845,149.815,149.615,151.78
MALUKU,378.63,360.32,344.56,322.175,311.565,328.095,329.755,320.465,320.08
MALUKU UTARA,91.07,97.31,90.045,84.63,83.715,76.275,75.54,77.375,81.46
PAPUA BARAT,256.25,249.84,226.615,229.25,227.445,225.45,224.7,220.62,214.47
PAPUA,761.62,944.79,971.48,1037.67,894.255,878.68,913.1,904.055,917.63
