Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018
ACEH,1300000,1350000,1400000,1550000,1750000,1900000,2118500,2500000,2717750
SUMATERA UTARA,965000,1035500,1200000,1375000,1505850,1625000,1811875,1961354,2132188
SUMATERA BARAT,940000,1055000,1150000,1350000,1490000,1615000,1800725,1949284,2119067
RIAU,1016000,1120000,1238000,1400000,1700000,1878000,2095000,2266722,2464154
JAMBI,900000,1028000,1142500,1300000,1502300,1710000,1906650,2063000,2243718
SUMATERA SELATAN,927825,1048440,1195220,1630000,1825000,1974346,2206000,2388000,2595995
BENGKULU,780000,815000,930000,1200000,1350000,1500000,1605000,1730000,1888741
LAMPUNG,767500,855000,975000,1150000,1399037,1581000,1763000,1908447,2074673
KEP. BANGKA BELITUNG,910000,1024000,1110000,1265000,1640000,2100000,2341500,2534673,2755443
KEP. RIAU,925000,975000,1015000,1365087,1665000,1954000,2178710,2358454,2563875
DKI JAKARTA,1118009,1290000,1529150,2200000,2441000,2700000,3100000,3355750,3648035
JAWA BARAT,671500,732000,780000,850000,1000000,1000000,2250000,1420624,1544360
JAWA TENGAH,660000,675000,765000,830000,910000,910000,1100000,1367000,1486065
YOGYAKARTA,745694,808000,892660,947114,988500,988500,1108249,1337645,1454154
JAWA TIMUR,630000,705000,745000,866250,1000000,1000000,1283000,1388000,1508894
BANTEN,955300,1000000,1042000,1170000,1325000,1600000,1784000,1931180,2099385
BALI,829316,890000,967500,1181000,1542600,1621172,1807600,1956727,2127157
NUSA TENGGARA BARAT,890775,950000,1000000,1100000,1210000,1330000,1482950,1631190,1825000
NUSA TENGGARA TIMUR,800000,850000,925000,1010000,1150000,1250000,1425000,1525000,1660000
KALIMANTAN BARAT,741000,802500,900000,1060000,1380000,1560000,1739400,1882900,2046900
KALIMANTAN TENGAH,986590,1134580,1327459,1553127,1723970,1896367,2057558,2222986,2421305
KALIMANTAN SELATAN,1024500,1126000,1225000,1337500,1620000,1870000,2085050,2258000,2454671
KALIMANTAN TIMUR,1002000,1084000,1177000,1752073,1886315,2026126,2161253,2339556,2543331
KALIMANTAN UTARA,-,-,-,-,-,2026126,2175340,2358800,2559903
SULAWESI UTARA,1000000,1050000,1250000,1550000,1900000,2150000,2400000,2598000,2824286
SULAWESI TENGAH,777500,827500,885000,995000,1250000,1500000,1670000,1807775,1965232
SULAWESI SELATAN,1000000,1100000,1200000,1440000,1800000,2000000,2250000,2435625,2647767
SULAWESI TENGGARA,860000,930000,1032300,1125207,1400000,1652000,1850000,2002625,2177052
GORONTALO,710000,762500,837500,1175000,1325000,1600000,1875000,2030000,2206813
SULAWESI BARAT,944200,1006000,1127000,1165000,1400000,1655500,1864000,2017780,2193530
MALUKU,840000,900000,975000,1275000,1415000,1650000,1775000,1925000,2222220
MALUKU UTARA,847000,889350,960498,1200622,1440746,1577617,1681266,1975000,2320803
PAPUA BARAT,1210000,1410000,1450000,1720000,1870000,2015000,2237000,2663646,2895650
PAPUA,1316500,1403000,1585000,1710000,2040000,2193000,2435000,2416800,2667000
