Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aceh,8.486362123,8.81073917,8.49784137,9.227608968,7.883405533,8.82884939,7.852343487,6.975605091,6.546806686
Sumatera Utara,7.720655545,7.824249247,6.354945436,6.27347928,6.088310461,6.549349772,6.165341292,6.000095916,5.589461633
Sumatera Barat,7.26249282,7.7632518,6.571173202,6.705872643,6.412963967,6.43967349,5.449241725,5.693502827,5.551643548
Riau,7.961482095,6.801785606,4.82888263,4.836010202,5.775211476,7.274592386,6.685682665,5.992690529,5.71643726
Jambi,4.916896157,4.303919273,3.445978876,3.824488034,3.789777808,3.536262954,4.330817981,3.769970761,3.653861777
Sumatera Selatan,6.602568387,6.448481705,5.630215362,5.122997141,4.40199318,5.552509388,4.122643929,4.094705604,4.016456075
Bengkulu,4.327850465,3.460412788,2.898890657,3.353150609,2.547431349,4.05905075,3.567516535,3.275442754,2.704080991
Lampung,5.764125426,5.94975745,5.204347912,5.382456271,4.936601626,4.286226353,4.581975384,4.377219481,4.332265141
Kepulauan Bangka Belitung,4.934014262,3.586315405,3.126595681,3.43656399,3.907048257,4.820462638,4.38282726,4.119007723,3.612835892
Kepulauan Riau,7.055331948,6.287595774,5.392715899,5.841017492,5.976058676,7.624620836,8.361685216,6.797288024,6.434123877
DKI Jakarta,11.18896989,11.27464887,10.13051135,9.132768302,9.155504571,7.795725481,5.943054877,6.251761538,5.343657255
Jawa Barat,10.45063626,9.989320912,9.458271949,9.017735634,8.555667154,8.559305341,8.728091727,8.351376079,8.155943725
Jawa Tengah,6.53447974,6.624227167,5.754036649,5.774505379,5.563783417,5.149663533,4.415154188,4.363010256,4.228774018
Yogyakarta,5.854680797,4.966919798,3.940831014,3.497738806,2.747714513,4.071644707,2.766885994,2.931497824,3.062726011
Jawa Timur,4.575942144,4.810647009,4.134612097,4.137163104,4.101894382,4.391959231,4.176732197,4.050574977,3.85365748
Banten,13.9064892,13.67710356,10.3102019,9.654621055,9.470931658,9.064815368,8.43495257,8.513977333,7.765194974
Bali,3.317705663,2.977086336,2.162271345,1.881850664,1.637430418,1.678633738,2.002769555,1.382434473,0.857020782
Nusa Tenggara Barat,5.533264934,5.354313605,5.227673619,5.289668637,5.523909785,5.336594043,3.799396764,3.586365631,3.383866994
Nusa Tenggara Timur,3.412939503,2.937582575,2.785445197,2.683711359,2.612833223,3.47741332,3.41819869,3.240365508,2.982411719
Kalimantan Barat,5.060799946,4.91643661,3.478315008,3.564581961,3.28341148,4.961355271,4.407130181,4.29056293,4.152885873
Kalimantan Tengah,4.010076067,3.687390395,2.931765697,2.406197855,2.974789903,3.840163747,4.246784051,3.678026516,3.178863307
Kalimantan Selatan,5.570239254,6.01329331,4.767971879,3.770785721,3.913979646,4.875512559,4.537515258,4.149216085,3.856014964
Kalimantan Timur,10.27903988,11.16468471,9.251952451,8.444478162,8.135338604,7.338111793,8.405624033,7.729997839,6.895265692
Kalimantan Utara,0,0,0,0,0,5.734903458,4.573130742,5.352773426,4.68093308
Sulawesi Utara,10.04718502,9.920286862,8.265690083,7.142756355,7.403599515,8.860455342,7.002407477,6.649083392,6.09217577
Sulawesi Tengah,4.749831189,5.543814479,3.851006827,3.430369696,3.300113205,3.545706039,3.374277735,3.390184595,3.189152221
Sulawesi Selatan,8.178417823,7.51246799,6.285989882,5.49252787,5.434016132,5.882901673,4.955930898,5.187677815,5.387523924
Sulawesi Tenggara,4.690038841,4.571997631,3.671267433,3.908459625,3.278737085,4.583377826,3.250160391,3.218657377,2.789783798
Gorontalo,5.10640566,5.845022885,4.697831153,4.33112436,3.311695581,3.855827542,3.319378987,3.964385599,3.623261755
Sulawesi Barat,3.67717667,3.059921031,2.130074469,2.184873366,1.838168848,2.577263464,3.022771823,3.096419451,2.449055898
Maluku,9.546431774,9.495502122,7.648555305,8.440172312,8.551098726,8.32441509,7.013437103,8.527685151,7.376316737
Maluku Utara,6.029357592,5.571621589,5.160335531,4.65258683,5.471231151,5.801106282,3.720590678,5.074710476,4.654813495
Papua Barat,7.723944682,6.771773113,5.994698348,4.381665595,4.356891885,6.34403052,6.596422885,7.006151378,5.666027687
Papua,3.814800152,4.43182378,3.367161598,3.030062956,3.46252517,3.854223833,3.158742169,3.789190571,2.906746257
